Date,Close,Contract,Year,ContractSymbol,ContractSymbol1
2013-04-22,19.55,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-04-23,19.35,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-04-24,19.15,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-04-25,19.25,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-04-26,19.14,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-04-29,19.08,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-04-30,19.0,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-01,19.32,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-02,19.05,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-03,18.97,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-06,18.68,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-07,18.45,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-08,18.55,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-09,18.78,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-10,18.85,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-13,19.0,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-14,18.9,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-15,19.08,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-16,19.22,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-17,19.19,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-20,19.37,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-21,19.65,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-22,19.51,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-23,19.7,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-24,19.65,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-24,0.0,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-05-28,19.61,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-28,0.0,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-05-29,19.55,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-29,20.04,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-05-30,19.6,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-30,20.05,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-05-31,19.95,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-05-31,20.45,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-06-03,20.15,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-06-03,20.55,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-06-04,20.15,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-06-04,20.75,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-06-05,20.4,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-06-05,20.85,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-06-06,20.31,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-06-06,20.75,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-06-07,20.15,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-06-07,20.5,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-06-10,19.9,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-06-10,20.33,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-06-11,20.4,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-06-11,20.8,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-06-12,20.95,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-06-12,21.3,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-06-13,20.55,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-06-13,20.94,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-06-14,21.04,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-06-14,21.4,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-06-17,20.93,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-06-17,21.19,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-06-18,20.95,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-06-18,21.25,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-06-19,20.98,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-06-19,21.2,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-06-20,21.54,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-06-20,21.85,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-06-21,21.47,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-06-21,21.75,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-06-21,0.0,CFE_VX_H4,2013,VX/H4,VX/H4_2014
2013-06-24,21.99,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-06-24,22.3,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-06-24,0.0,CFE_VX_H4,2013,VX/H4,VX/H4_2014
2013-06-25,21.96,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-06-25,22.35,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-06-25,23.0,CFE_VX_H4,2013,VX/H4,VX/H4_2014
2013-06-26,22.02,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-06-26,22.35,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-06-26,22.5,CFE_VX_H4,2013,VX/H4,VX/H4_2014
2013-06-27,21.67,CFE_VX_F4,2013,VX/F4,VX/F4_2014
2013-06-27,22.03,CFE_VX_G4,2013,VX/G4,VX/G4_2014
2013-06-27,22.55,CFE_VX_H4,2013,VX/H4,VX/H4_2014
2013-06-28,21.68,CFE_VX_F4,2013,VX/F4,VX/F4_2014
