,Close,Contract,Year,ContractSymbol_x,ContractSymbol1,ContractSymbol_y,Expiration,SettlementPrice,DaysToExpiry,Close_next,SV_LSTM_signal,LSTM_signal,SV_signal
2014-01-24,16.21,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,2014-02-19,15.47,26,,-1,-1,-1
2014-01-27,16.09,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,2014-02-19,15.47,23,,-1,-1,1
2014-01-28,15.19,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,2014-02-19,15.47,22,,-1,-1,1
2014-01-29,16.4,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,2014-02-19,15.47,21,,-1,-1,1
2014-01-30,16.65,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,2014-02-19,15.47,20,,-1,-1,-1
2014-01-31,17.58,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,2014-02-19,15.47,19,,-1,-1,-1
2014-02-03,19.17,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,2014-02-19,15.47,16,,-1,-1,-1
2014-02-04,18.63,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,2014-02-19,15.47,15,,-1,-1,1
2014-02-05,19.1,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,2014-02-19,15.47,14,,-1,1,-1
2014-02-06,16.99,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,2014-02-19,15.47,13,,-1,-1,-1
2014-02-07,15.47,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,2014-02-19,15.47,12,,-1,-1,-1
2014-02-10,15.63,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,2014-02-19,15.47,9,,-1,-1,-1
2014-02-11,15.01,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,2014-02-19,15.47,8,,-1,-1,-1
2014-02-12,14.53,CFE_VX_G4,2014,VX/G4,VX/G4_2014,VX/G4_2014,2014-02-19,15.47,7,,1,1,-1
