num_lstm_layers,lstm_units_1,lstm_activation_1,lstm_recurrent_dropout_1,dropout,num_dense_layers,lr,loss_function,dropout_rate,lstm_units_2,lstm_activation_2,lstm_recurrent_dropout_2,dense_units_1,dense_activation_1,dense_units_2,dense_activation_2,dense_units_3,dense_activation_3,lstm_units_3,lstm_activation_3,lstm_recurrent_dropout_3,window
1,32,tanh,0.0,False,3,0.005,mean_squared_error,0.2,64,sigmoid,0.15000000000000002,128,tanh,64,sigmoid,64.0,relu,64,tanh,0.0,1
1,64,sigmoid,0.0,False,1,0.01,mean_squared_error,0.45,128,sigmoid,0.1,32,relu,64,relu,32.0,relu,128,tanh,0.15000000000000002,2
3,64,relu,0.1,False,2,0.01,mean_squared_error,,32,tanh,0.0,32,tanh,32,tanh,,,32,tanh,0.0,3
3,32,tanh,0.2,False,3,0.01,mean_squared_error,0.30000000000000004,128,tanh,0.15000000000000002,32,tanh,64,sigmoid,64.0,tanh,32,sigmoid,0.2,4
2,64,sigmoid,0.05,False,1,0.0005,mean_squared_error,0.2,64,tanh,0.0,128,tanh,32,tanh,32.0,relu,64,tanh,0.2,5
2,32,sigmoid,0.1,False,0,0.01,mean_squared_error,0.2,128,sigmoid,0.05,64,sigmoid,128,relu,32.0,sigmoid,32,tanh,0.2,6
2,64,tanh,0.0,False,0,0.001,mean_squared_error,0.4,128,sigmoid,0.05,32,sigmoid,128,relu,64.0,tanh,32,sigmoid,0.0,7
1,32,relu,0.0,False,3,0.005,mean_squared_error,0.30000000000000004,64,relu,0.0,64,relu,64,relu,32.0,sigmoid,64,sigmoid,0.0,8
2,64,sigmoid,0.05,False,3,0.01,mean_squared_error,0.30000000000000004,32,sigmoid,0.1,64,relu,128,relu,64.0,tanh,128,tanh,0.1,9
1,32,relu,0.15000000000000002,False,1,0.01,mean_squared_error,0.2,64,sigmoid,0.1,32,relu,32,sigmoid,64.0,tanh,64,sigmoid,0.1,10
1,128,sigmoid,0.15000000000000002,False,0,0.0005,mean_squared_error,0.2,32,tanh,0.05,32,sigmoid,32,sigmoid,128.0,relu,128,relu,0.15000000000000002,11
